domain,category
guvi.in,learning
classify.zenclass.in,learning
v2.zenclass.in,learning
colab.research.google.com,learning
github.com,development
avatars.githubusercontent.com,development
chatgpt.com,ai_assistant
claude.ai,ai_assistant
gemini.google.com,ai_assistant
docs.aws.amazon.com,cloud_services
console.aws.amazon.com,cloud_services
portal.aws.amazon.com,cloud_services
eu-north-1.signin.aws.amazon.com,cloud_services
docs.google.com,productivity
drive.google.com,productivity
forms.gle,productivity
youtube.com,media
hotstar.com,entertainment
google.com,search
accounts.google.com,authentication
