timestamp,ram_used_mb,ram_available_mb,browser_ram_mb,cpu_percent
2026-04-09 13:30:39.513788,10499.34,5500.66,1286.17,46.6
2026-04-09 13:30:49.513788,10177.62,5822.38,1331.89,17.8
2026-04-09 13:30:59.513788,10715.84,5284.16,1376.74,11.03
2026-04-09 13:31:09.513788,10283.82,5716.18,1247.48,19.17
2026-04-09 13:31:19.513788,10448.39,5551.61,1108.67,31.6
2026-04-09 13:31:29.513788,10563.29,5436.71,1147.61,16.97
2026-04-09 13:31:39.513788,10218.4,5781.6,1158.77,32.8
2026-04-09 13:31:49.513788,10274.11,5725.89,1359.77,35.71
2026-04-09 13:31:59.513788,10291.12,5708.88,1311.09,40.38
2026-04-09 13:32:09.513788,10279.95,5720.05,1394.74,14.88
2026-04-09 13:32:19.513788,10279.66,5720.34,1485.23,16.1
2026-04-09 13:32:29.513788,10293.27,5706.73,1299.45,55.47
2026-04-09 13:32:39.513788,10564.51,5435.49,1177.92,25.59
2026-04-09 13:32:49.513788,10955.66,5044.34,1419.36,19.24
2026-04-09 13:32:59.513788,10547.69,5452.31,1317.14,14.42
2026-04-09 13:33:09.513788,10198.18,5801.82,1141.67,23.57
2026-04-09 13:33:19.513788,10307.87,5692.13,1405.71,24.05
2026-04-09 13:33:29.513788,10173.89,5826.11,1313.44,50.11
2026-04-09 13:33:39.513788,10264.62,5735.38,1361.17,10.28
2026-04-09 13:33:49.513788,10516.42,5483.58,1388.77,46.45
2026-04-09 13:33:59.513788,10232.16,5767.84,1269.08,53.16
2026-04-09 13:34:09.513788,10098.37,5901.63,1409.96,13.18
2026-04-09 13:34:19.513788,10178.73,5821.27,1180.38,46.48
2026-04-09 13:34:29.513788,10566.96,5433.04,1329.66,33.61
2026-04-09 13:34:39.513788,10472.33,5527.67,1235.49,48.04
2026-04-09 13:34:49.513788,10699.09,5300.91,1333.82,34.69
2026-04-09 13:34:59.513788,9876.05,6123.95,1382.19,11.27
2026-04-09 13:35:09.513788,10116.25,5883.75,1404.25,35.43
2026-04-09 13:35:19.513788,10356.07,5643.93,1335.71,30.52
2026-04-09 13:35:29.513788,10242.15,5757.85,1374.37,13.85
2026-04-09 13:35:39.513788,10238.3,5761.7,1249.82,56.48
2026-04-09 13:35:49.513788,10500.29,5499.71,1415.82,53.57
